Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,12 603,74,2 692 089,34 766,"-0,3",103 066,1 331,"1,2"
,1-кімн.,3 045,43,1 480 296,33 670,"-0,9",56 673,1 289,"0,6"
,2-кімн.,4 037,66,2 429 550,35 886,"1,0",93 015,1 374,"2,5"
,3-кімн.,4 411,91,3 291 476,34 339,"-1,0",126 014,1 315,"0,4"
,4-кімн.,1 110,123,4 589 279,35 395,"-0,6",175 700,1 355,"0,9"
Голосіївський,,1 762,74,2 617 269,33 825,"-1,4",100 202,1 295,"0,0"
,1-кімн.,498,43,1 392 372,31 439,"-1,9",53 307,1 204,"-0,5"
,2-кімн.,571,68,2 417 578,34 921,"-0,5",92 557,1 337,"1,0"
,3-кімн.,544,94,3 331 112,34 274,"-2,4",127 531,1 312,"-0,9"
,4-кімн.,149,131,4 870 228,35 958,"-0,9",186 456,1 377,"0,6"
Дарницький,,1 853,73,1 978 473,26 969,"-1,4",75 746,1 032,"0,0"
,1-кімн.,481,43,1 241 993,28 411,"-2,1",47 549,1 088,"-0,6"
,2-кімн.,565,68,1 872 194,27 280,"-1,5",71 677,1 044,"-0,1"
,3-кімн.,658,91,2 391 328,26 049,"-1,0",91 552,997,"0,5"
,4-кімн.,149,114,2 935 765,25 192,"-1,1",112 395,964,"0,3"
Деснянський,,613,67,1 472 312,22 440,"-0,6",56 367,859,"0,9"
,1-кімн.,136,39,957 447,24 302,"-1,2",36 656,930,"0,3"
,2-кімн.,163,60,1 444 180,23 929,"0,0",55 290,916,"1,5"
,3-кімн.,251,79,1 691 883,21 320,"-0,4",64 773,816,"1,1"
,4-кімн.,63,93,1 781 757,19 028,"-2,0",68 214,728,"-0,5"
Дніпровський,,1 295,66,1 846 600,27 921,"-0,8",70 697,1 069,"0,6"
,1-кімн.,366,41,1 238 189,30 122,"0,5",47 404,1 153,"1,9"
,2-кімн.,417,64,1 765 946,27 657,"-1,7",67 609,1 059,"-0,3"
,3-кімн.,419,81,2 209 949,26 552,"-0,7",84 608,1 017,"0,8"
,4-кімн.,93,108,2 965 603,26 616,"-1,9",113 538,1 019,"-0,5"
Оболонський,,741,76,2 858 530,35 405,"0,2",109 438,1 355,"1,7"
,1-кімн.,163,43,1 595 548,36 589,"0,6",61 085,1 401,"2,0"
,2-кімн.,194,63,2 198 558,33 845,"-0,7",84 171,1 296,"0,7"
,3-кімн.,299,89,3 265 765,34 252,"-0,1",125 029,1 311,"1,3"
,4-кімн.,85,124,5 354 262,40 755,"1,5",204 987,1 560,"3,0"
Печерський,,1 759,85,4 695 911,54 684,"0,2",179 782,2 094,"1,6"
,1-кімн.,324,48,2 647 870,54 696,"-0,2",101 373,2 094,"1,3"
,2-кімн.,627,71,3 970 190,55 396,"1,3",151 998,2 121,"2,8"
,3-кімн.,649,104,5 843 289,55 156,"-1,0",223 709,2 112,"0,5"
,4-кімн.,159,141,7 047 753,49 932,"0,6",269 822,1 912,"2,1"
Подільський,,792,69,2 237 548,31 887,"-0,9",85 664,1 221,"0,5"
,1-кімн.,238,41,1 320 084,31 531,"-1,4",50 539,1 207,"0,1"
,2-кімн.,244,64,2 153 062,33 108,"0,0",82 430,1 268,"1,5"
,3-кімн.,257,88,2 782 600,30 725,"-0,7",106 531,1 176,"0,8"
,4-кімн.,53,118,4 103 448,33 497,"-4,3",157 100,1 282,"-2,9"
Святошинський,,777,67,1 704 944,25 299,"-0,3",65 274,969,"1,1"
,1-кімн.,164,40,1 040 606,25 981,"-0,3",39 839,995,"1,1"
,2-кімн.,247,61,1 572 558,25 646,"0,8",60 205,982,"2,2"
,3-кімн.,293,79,1 991 689,24 915,"-0,7",76 252,954,"0,7"
,4-кімн.,73,101,2 494 460,24 137,"-1,9",95 500,924,"-0,5"
Солом'янський,,1 367,72,2 254 937,30 628,"-0,6",86 330,1 173,"0,8"
,1-кімн.,386,42,1 342 131,31 046,"-2,0",51 383,1 189,"-0,6"
,2-кімн.,427,64,2 047 959,31 311,"0,1",78 406,1 199,"1,6"
,3-кімн.,450,91,2 808 309,29 485,"-0,3",107 516,1 129,"1,2"
,4-кімн.,104,129,4 098 261,31 209,"0,7",156 901,1 195,"2,1"
Шевченківський,,1 644,81,3 527 451,42 253,"-0,5",135 048,1 618,"1,0"
,1-кімн.,289,44,1 773 102,39 579,"-1,0",67 883,1 515,"0,4"
,2-кімн.,582,66,2 910 636,42 963,"1,9",111 433,1 645,"3,4"
,3-кіімн.,591,96,4 147 650,41 801,"-2,8",158 792,1 600,"-1,4"
,4-кімн.,182,135,6 271 714,45 698,"0,3",240 112,1 750,"1,7"